,store_num,city,sale_sum,sale_mean,county_num,zip_code,liters_sold_sum,liters_sold_mean,price_per_liter_mean,margin_mean,q1_2015_sales,q1_2016_sales
334,3879,SIOUX CITY,13643.66,172.704556962,97,51106,747.9,9.46708860759,19.0224638336,6.58316455696,1976.4,1100.94
335,3880,COUNCIL BLUFFS,12140.92,205.778305085,78,51503,604.6,10.2474576271,21.8253934625,7.52949152542,2225.42,1358.24
336,3881,MARSHALLTOWN,58519.77,195.718294314,64,50158,3309.0,11.0668896321,20.2474757127,6.58257525084,6768.84,6476.58
337,3882,DAVENPORT,6105.76,56.5348148148,82,52802,508.94,4.71240740741,15.3943155882,3.13657407407,1004.55,852.42
338,3886,ANAMOSA,36814.26,211.576206897,53,52205,2859.0,16.4310344828,15.3015216201,5.27712643678,3433.74,4666.26
339,3888,GRINNELL,22489.38,164.156058394,79,50112,1702.5,12.4270072993,14.6065067779,5.26802919708,3426.12,1988.22
340,3889,WAVERLY,27170.64,198.325839416,9,50677,2448.0,17.8686131387,13.5294751477,5.14605839416,3961.02,4614.6
341,3890,CEDAR RAPIDS,19491.66,31.3875362319,57,52405,1333.71,2.14768115942,19.3858072588,3.20223832528,2806.19,1768.64
342,3891,EMMETSBURG,5349.21,167.1628125,74,50536,339.75,10.6171875,17.993125,5.6290625,1221.12,1354.65
343,3894,CEDAR RAPIDS,14977.95,59.2013833992,57,52402,1158.08,4.57739130435,17.5176060205,2.28561264822,1781.98,2272.53
344,3896,IOWA CITY,23859.69,60.7116793893,52,52240,1320.01,3.35880407125,21.5025288136,3.15478371501,2197.18,1311.41
345,3899,WEST DES MOINES,58651.02,160.248688525,77,50266,4276.5,11.6844262295,15.1577192298,5.41371584699,6013.32,7615.5
346,3901,FORT DODGE,9723.08,186.982307692,94,50501,527.1,10.1365384615,20.0319711538,6.64211538462,1957.34,585.0
347,3907,MUSCATINE,9857.61,33.4156271186,70,52761,639.88,2.16908474576,19.3952855211,3.47315254237,1555.05,971.45
348,3908,FORT MADISON,19842.96,117.413964497,56,52627,1840.5,10.8905325444,11.4970583263,4.25437869822,3737.46,1295.76
349,3909,MELCHER-DALLAS,16282.74,95.2207017544,63,50163,1115.5,6.52339181287,17.8876646255,5.00766081871,1256.95,1405.58
350,3910,RIVERSIDE,15547.69,174.693146067,92,52327,778.75,8.75,23.1048528625,6.70370786517,2030.16,2901.24
351,3912,CEDAR RAPIDS,17636.99,32.7825092937,57,52405,1182.42,2.19780669145,20.8877390662,3.31555762082,2802.76,1654.23
352,3916,OTTUMWA,9238.24,27.3320710059,90,52501,731.71,2.16482248521,17.4099643605,2.91908284024,951.16,800.88
353,3917,DAVENPORT,22111.62,64.2779651163,82,52804,1531.03,4.45066860465,19.5478238468,3.53875,2504.54,2937.32
354,3918,DAVENPORT,6933.59,60.8209649123,82,52802,565.07,4.95675438596,18.6268992657,3.9498245614,757.75,1258.32
355,3920,CLINTON,17129.6,31.5462246777,23,52732,1320.4,2.43167587477,18.6094978439,3.67390423573,1776.46,1621.57
356,3926,IOWA CITY,93365.89,146.801713836,52,52240,7058.78,11.0987106918,17.6279012262,4.7120754717,14511.44,11475.59
357,3928,NORTH LIBERTY,16416.76,52.4497124601,52,52317,1009.14,3.22408945687,21.2176538778,3.54092651757,2313.66,2073.85
358,3930,ST LUCAS,9769.08,171.387368421,33,52166,595.25,10.4429824561,17.6056808688,7.4598245614,1277.88,1608.66
359,3932,MAPLETON,29005.37,68.2479294118,67,51034,2249.31,5.29249411765,16.3073892931,5.20804705882,3179.89,3716.26
360,3934,MAQUOKETA,25053.48,170.431836735,49,52060,2127.0,14.4693877551,13.8567346939,5.72673469388,2714.58,3864.9
361,3942,TOLEDO,49490.89,76.9687247278,86,52342,3581.47,5.5699377916,16.8307640022,4.43945567652,4782.96,6691.68
362,3943,NEVADA,18442.59,38.9906765328,85,50201,1496.5,3.16384778013,16.260949063,4.2545243129,2000.87,2752.24
363,3944,DUBUQUE,104387.49,621.354107143,31,52002,8880.75,52.8616071429,16.5996853741,6.13547619048,11702.04,3276.84
364,3947,BROOKLYN,12114.63,65.4844864865,79,52211,926.88,5.01016216216,17.1102110682,5.22627027027,1977.11,1278.73
365,3949,PELLA,20097.06,189.59490566,63,50219,1486.5,14.0235849057,14.5018328841,5.06113207547,1650.6,982.98
366,3950,STATE CENTER,4679.22,30.3845454545,48,50247,419.95,2.72694805195,14.0010871334,3.89811688312,681.06,696.38
367,3952,BETTENDORF,390443.65,344.003215859,82,52722,21665.01,19.0881145374,23.3413771386,6.62379735683,57237.41,32949.43
368,3957,EDGEWOOD,6008.61,69.8675581395,22,52042,522.0,6.06976744186,13.1099833887,4.51825581395,706.68,816.49
369,3959,DUBUQUE,10433.4,57.9633333333,31,52001,1130.28,6.27933333333,14.2712539683,3.70016666667,976.8,595.3
370,3963,COUNCIL BLUFFS,23741.17,45.9210251451,78,51501,1684.58,3.25837524178,17.5921411233,3.18419729207,2774.11,7542.69
371,3964,SIOUX RAPIDS,8996.77,47.3514210526,11,50585,747.53,3.93436842105,14.1406054898,4.81110526316,1000.76,1105.29
372,3968,MONROE,5601.75,83.6082089552,50,50170,413.0,6.16417910448,15.0792324094,4.77119402985,343.02,641.59
373,3970,NEVADA,7189.92,62.5210434783,85,50201,541.61,4.70965217391,17.0633426501,4.82408695652,1371.84,
374,3972,HUBBARD,4640.32,60.2638961039,42,50122,500.87,6.50480519481,13.1555457638,4.14649350649,322.17,575.34
375,3980,IOWA CITY,72304.86,162.118520179,52,52246,5257.5,11.7881165919,14.8506160581,5.10728699552,8901.06,8004.12
376,3981,SIOUX CENTER,44124.6,177.921774194,84,51250,3000.0,12.0967741935,16.3343932412,5.64213709677,4328.64,5506.26
377,3986,SIOUX CITY,42859.27,101.562251185,97,51101,2671.66,6.3309478673,19.2476505987,5.1271563981,4342.68,5749.35
378,3987,ALGONA,28382.64,135.155428571,55,50511,2215.97,10.5522380952,16.666914966,5.32738095238,2439.52,1266.36
