0,tt0111161
1,tt0068646
2,tt0071562
3,tt0468569
4,tt0050083
5,tt0108052
6,tt0110912
7,tt0167260
8,tt0060196
9,tt0137523
10,tt0120737
11,tt0080684
12,tt0109830
13,tt1375666
14,tt0167261
15,tt0073486
16,tt0099685
17,tt0133093
18,tt0047478
19,tt0076759
20,tt0317248
21,tt0114369
22,tt0102926
23,tt0038650
24,tt0114814
25,tt0118799
26,tt0110413
27,tt0245429
28,tt0120815
29,tt0064116
30,tt0120586
31,tt0816692
32,tt0034583
33,tt0054215
34,tt0021749
35,tt0082971
36,tt0120689
37,tt1675434
38,tt0027977
39,tt0047396
40,tt0103064
41,tt0407887
42,tt0253474
43,tt0088763
44,tt2582802
45,tt0172495
46,tt0209144
47,tt0078788
48,tt0482571
49,tt0110357
50,tt0078748
51,tt0057012
52,tt0043014
53,tt0032553
54,tt0405094
55,tt0095765
56,tt0050825
57,tt1853728
58,tt0081505
59,tt0095327
60,tt0910970
61,tt1345836
62,tt0169547
63,tt0090605
64,tt0119698
65,tt0364569
66,tt0087843
67,tt0033467
68,tt0082096
69,tt0053125
70,tt0051201
71,tt0052357
72,tt0086190
73,tt0022100
74,tt0105236
75,tt0112573
76,tt0211915
77,tt0180093
78,tt0066921
79,tt0075314
80,tt0036775
81,tt0056172
82,tt0056592
83,tt0435761
84,tt0338013
85,tt0086879
86,tt0093058
87,tt0070735
88,tt0062622
89,tt0040522
90,tt0114709
91,tt0208092
92,tt0045152
93,tt0361748
94,tt0012349
95,tt0071853
96,tt0119488
97,tt0059578
98,tt0042876
99,tt0053604
100,tt0086250
101,tt1187043
102,tt0097576
103,tt1832382
104,tt0017136
105,tt2106476
106,tt0119217
107,tt0042192
108,tt0055630
109,tt0372784
110,tt0040897
111,tt0053291
112,tt1049413
113,tt0105695
114,tt0041959
115,tt0363163
116,tt0081398
117,tt0118849
118,tt0095016
119,tt0057115
120,tt0071315
121,tt0113277
122,tt2096673
123,tt0457430
124,tt3170832
125,tt0047296
126,tt0096283
127,tt0044741
128,tt0089881
129,tt0015864
130,tt0050212
131,tt0031679
132,tt1305806
133,tt0083658
134,tt0050976
135,tt0120735
136,tt0347149
137,tt0112641
138,tt0019254
139,tt0055031
140,tt0050986
141,tt0017925
142,tt0080678
143,tt0268978
144,tt0018455
145,tt1291584
146,tt0993846
147,tt0434409
148,tt1255953
149,tt1205489
150,tt0118715
151,tt0046438
152,tt0077416
153,tt0046912
154,tt0117951
155,tt0031381
156,tt0116282
157,tt0032976
158,tt2488496
159,tt0061512
160,tt0266543
161,tt0167404
162,tt0892769
163,tt0084787
164,tt0477348
165,tt0758758
166,tt0266697
167,tt0978762
168,tt2267998
169,tt0091251
170,tt0025316
171,tt0469494
172,tt0079470
173,tt0074896
174,tt1979320
175,tt0395169
176,tt0091763
177,tt0050783
178,tt0074958
179,tt0046268
180,tt1130884
181,tt1895587
182,tt0033870
183,tt0064115
184,tt1392190
185,tt0092005
186,tt0107207
187,tt0053198
188,tt3011894
189,tt2024544
190,tt0060827
191,tt2278388
192,tt0052618
193,tt0245712
194,tt0405159
195,tt0093779
196,tt0107290
197,tt1028532
198,tt0087544
199,tt2948356
200,tt0052311
201,tt0032551
202,tt0079944
203,tt0353969
204,tt0075686
205,tt0120382
206,tt0112471
207,tt0440963
208,tt0083987
209,tt0046911
210,tt0075148
211,tt0246578
212,tt1201607
213,tt0056801
214,tt0198781
215,tt0032138
216,tt0088247
217,tt0107048
218,tt0114746
219,tt1392214
220,tt0073195
221,tt0036868
222,tt0338564
223,tt0113247
224,tt0072684
225,tt0044079
226,tt0264464
227,tt0401792
228,tt0058946
229,tt0072890
230,tt0041546
231,tt1865505
232,tt1663202
233,tt1431045
234,tt0325980
235,tt1454029
236,tt1954470
237,tt2084970
238,tt1220719
239,tt3659388
240,tt0046250
241,tt0058461
242,tt0092067
243,tt2015381
244,tt0083922
245,tt1504320
246,tt0848228
247,tt0087884
248,tt0169102
249,tt0101414
