,,,,Margin,Dollars,Dollars,Dollars,Sale_Date,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,day_of_sale,DaysOpen,AverageSalesPerDay,MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),Dominant_Sale_Category
,,,,Mean2015,AverageDollars2015,NumberOfSales2015,TotalDollars2015,DaysOpenTemp,AverageVolume2015,TotalVolume2015,Median2015,DaysOpenTemp,,,Median2015q1,AverageDollars2015q1,TotalDollars2015q1,Mean2015q1,AverageVolume2015q1,TotalVolume2015q1,Median2016q1,AverageDollars2016q1,TotalDollars2016q1,Mean2016q1,AverageVolume2016q1,TotalVolume2016q1,
Store Number,Zip Code,City,County Number,,,,,,,,,,,,,,,,,,,,,,,,
2445,51560,OAKLAND,78.0,4.94947368421,42.0437426901,171.0,7189.48,1970-01-01 00:00:00.000000048,3.34380116959,571.79,0.333333333333,3,3,1.09615384615,0.333437871344,37.97125,1215.08,4.8421875,2.9721875,95.11,0.333333333333,49.0817241379,1423.37,5.31689655172,4.14206896552,120.12,
2448,50125,INDIANOLA,91.0,5.04914841849,43.1647201946,411.0,17740.7,1970-01-01 00:00:00.000000052,3.030486618,1245.53,0.333333333333,3,3,2.63461538462,0.333333333333,50.4992857143,5655.92,5.14642857143,3.25910714286,365.02,0.333333333333,71.6827659574,6738.18,5.12468085106,4.39893617021,413.5,
2459,50115,GUTHRIE CENTER,39.0,4.0262037037,68.0771296296,108.0,7352.33,1970-01-01 00:00:00.000000036,5.62259259259,607.24,0.333444481494,4,4,0.519230769231,0.333515310839,73.1622727273,1609.57,4.14409090909,6.22727272727,137.0,0.333485581814,75.1625,1803.9,4.83833333333,5.875,141.0,
2465,52003,DUBUQUE,31.0,5.89792838875,66.0659846547,391.0,25831.8,1970-01-01 00:00:00.000000051,4.38158567775,1713.2,0.333333333333,4,4,1.87980769231,0.333333333333,57.3060204082,5615.99,5.91224489796,4.08285714286,400.12,0.333453496756,76.3739130435,5269.8,7.08449275362,5.01202898551,345.83,
2475,50597,WEST BEND,55.0,5.63067567568,144.338783784,74.0,10681.07,1970-01-01 00:00:00.000000038,14.1208108108,1044.94,0.333333333333,3,3,0.474358974359,0.333333333333,283.638,5672.76,6.0065,32.7075,654.15,0.333333333333,149.6896875,4790.07,5.8475,14.78875,473.24,
2478,50009,ALTOONA,77.0,7.01372093023,230.705232558,86.0,19840.65,1970-01-01 00:00:00.000000043,12.0697674419,1038.0,0.333333333333,4,4,0.413461538462,0.333333333333,234.728947368,4459.85,6.82526315789,11.0526315789,210.0,0.333456153279,212.505714286,4462.62,6.70857142857,10.7142857143,225.0,
2498,50606,ARLINGTON,33.0,3.10551724138,38.9598275862,58.0,2259.67,1970-01-01 00:00:00.000000021,3.9675862069,230.12,0.333545513186,2,2,0.557692307692,0.333476640871,27.922,279.22,2.523,2.787,27.87,0.333333333333,43.3522222222,780.34,3.425,3.57055555556,64.27,
2500,50010,AMES,85.0,5.21126378287,126.481450382,1179.0,149121.63,1970-01-01 00:00:00.000000055,8.51497031383,10039.15,0.333333333333,3,3,7.55769230769,0.333333333333,142.676950355,40234.9,5.15528368794,11.2083687943,3160.76,0.333333333333,99.2649705882,33750.09,5.07564705882,6.36044117647,2162.55,
2501,50010,AMES,85.0,5.00360655738,113.062966432,1281.0,144833.66,1970-01-01 00:00:00.000000052,7.77470725995,9959.4,0.333333333333,3,3,8.21153846154,0.333333333333,97.8596573209,31412.95,5.1062305296,6.75591900312,2168.65,0.333333333333,110.545468165,29515.64,4.70895131086,7.73576779026,2065.45,
2502,50021,ANKENY,77.0,5.63348504551,195.18076723,769.0,150094.01,1970-01-01 00:00:00.000000055,13.9116905072,10698.09,0.333407226779,4,4,3.69711538462,0.33339360949,209.681170213,39420.06,5.41409574468,16.675106383,3134.92,0.333333333333,104.856722222,18874.21,5.39016666667,7.12883333333,1283.19,
2505,50036,BOONE,8.0,4.54098006645,117.625498339,602.0,70810.55,1970-01-01 00:00:00.000000057,9.29144518272,5593.45,0.333333333333,3,3,3.85897435897,0.333333333333,104.743021583,14559.28,4.46273381295,7.39992805755,1028.59,0.333415354331,93.0314012739,14605.93,4.7176433121,7.07535031847,1110.83,
2506,52601,BURLINGTON,29.0,5.75379049676,154.893801296,926.0,143431.66,1970-01-01 00:00:00.000000054,9.74360691145,9022.58,0.333333333333,5,5,3.56153846154,0.333333333333,152.008676471,31009.77,5.48009803922,10.0265686275,2045.42,0.333333333333,132.495668016,32726.43,5.03902834008,9.18534412955,2268.78,
2507,52601,BURLINGTON,29.0,3.89220895522,88.596358209,335.0,29679.78,1970-01-01 00:00:00.000000050,7.58874626866,2542.23,0.333333333333,3,3,2.14743589744,0.333333333333,88.7660638298,8344.01,3.88106382979,7.32468085106,688.52,0.333333333333,105.999827586,6147.99,4.02293103448,8.65517241379,502.0,
2508,52405,CEDAR RAPIDS,57.0,5.06896815287,147.430318471,785.0,115732.8,1970-01-01 00:00:00.000000052,10.016343949,7862.83,0.333333333333,3,3,5.03205128205,0.333333333333,143.657118644,25427.31,4.9911299435,10.001920904,1770.34,0.333333333333,169.275109489,23190.69,5.35919708029,10.7856934307,1477.64,
2509,52404,CEDAR RAPIDS,57.0,4.56946524064,133.071550802,374.0,49768.76,1970-01-01 00:00:00.000000052,10.1655080214,3801.9,0.33340550756,3,3,2.39743589744,0.333333333333,150.880853659,12372.23,4.67463414634,10.9153658537,895.06,0.333333333333,104.837096774,9749.85,4.69419354839,8.7547311828,814.19,
2512,52240,IOWA CITY,52.0,5.47384727273,305.11608,1375.0,419534.61,1970-01-01 00:00:00.000000104,18.8490036364,25917.38,0.333333333333,5,5,5.28846153846,0.333333333333,228.105055556,82117.82,5.53436111111,13.9021666667,5004.78,0.333333333333,295.131078947,112149.81,5.50028947368,19.6225263158,7456.56,
2513,52240,IOWA CITY,52.0,4.7096408046,86.5926436782,696.0,60268.48,1970-01-01 00:00:00.000000052,5.97218390805,4156.64,0.333333333333,3,3,4.46153846154,0.333333333333,88.2094482759,12790.37,4.67731034483,6.23648275862,904.29,0.333333333333,83.5830697674,17970.36,4.80562790698,5.97669767442,1284.99,
2514,50129,MARION,57.0,3.79538461538,70.8590769231,195.0,13817.52,1970-01-01 00:00:00.000000048,5.96553846154,1163.28,0.333333333333,4,4,0.9375,0.333333333333,52.0375,3122.25,3.4415,5.02416666667,301.45,0.333333333333,178.151290323,5522.69,4.47741935484,10.6648387097,330.61,
2515,50401,MASON CITY,17.0,5.16771561772,93.9992540793,1287.0,120977.04,1970-01-01 00:00:00.000000052,6.88932400932,8866.56,0.333333333333,3,3,8.25,0.333333333333,80.2046598639,23580.17,5.19639455782,5.90969387755,1737.45,0.333333333333,80.163956044,21884.76,5.39472527473,6.49783882784,1773.91,
2517,50208,NEWTON,50.0,4.86552901024,86.7331285552,879.0,76238.42,1970-01-01 00:00:00.000000052,6.70187713311,5890.95,0.333333333333,3,3,5.63461538462,0.333333333333,78.112972973,17341.08,4.71,5.90855855856,1311.7,0.333333333333,85.6437967914,16015.39,4.87080213904,5.96085561497,1114.68,
2518,51566,RED OAK,69.0,5.17715762274,98.6518087855,387.0,38178.25,1970-01-01 00:00:00.000000052,8.03710594315,3110.36,0.333333333333,3,3,2.48076923077,0.333333333333,128.270886076,10133.4,4.94215189873,11.6796202532,922.69,0.333333333333,101.278064516,6279.24,5.22338709677,7.00032258065,434.02,
2521,50265,WEST DES MOINES,77.0,4.98097964377,136.615585242,786.0,107379.85,1970-01-01 00:00:00.000000057,9.89236641221,7775.4,0.333333333333,5,5,3.02307692308,0.333333333333,120.346124402,25152.34,4.99899521531,8.20071770335,1713.95,0.333333333333,131.155102041,25706.4,5.4231122449,8.19566326531,1606.35,
2522,51360,SPIRIT LAKE,30.0,5.20986196319,172.321886503,652.0,112353.87,1970-01-01 00:00:00.000000052,11.7133282209,7637.09,0.333333333333,3,3,4.17948717949,0.333333333333,135.599920635,17085.59,5.25126984127,9.86349206349,1242.8,0.333333333333,134.152403101,17305.66,4.67387596899,9.93875968992,1282.1,
