,store_number,zip_code,city,county_name,margin_mean_2015,avg_rev_2015,vol_sales_2015,total_rev_2015,sale_date_(to_delete),avg_vol_2015_litre,total_vol_2015_litre,margin_ratio_2015,day_of_sale,days_open,avg_sales_per_day,margin_ratio_2015_q1,avg_rev_2015_q1,vol_sales_2015_q1,margin_mean_2015_q1,avg_vol_2015_q1__litre,total_vol_2015_q1__litre,margin_ratio_2016_q1,avg_rev_2016_q1,vol_sales_2016_q1,margin_mean_2016_q1,avg_vol_2016_q1__litre,total_vol_2016_q1__litre,Dominant_Sale_Category_(to_delete),forecast_2016
263,3803.0,52076.0,STRAWBERRY POINT,22.0,4.83297297297,115.715675676,37.0,4281.48,1970-01-01 00:00:00.000000023,10.9864864865,406.5,0.333333333333,3.0,3.0,0.237179487179,0.333333333333,119.306666667,1073.76,5.27111111111,10.1666666667,91.5,0.333333333333,90.2152941176,1533.66,4.49058823529,9.48529411765,161.25,,7090.30241887
264,3805.0,52084.0,DAVENPORT,82.0,4.48023648649,129.61,296.0,38364.56,1970-01-01 00:00:00.000000052,5.69486486486,1685.68,0.333333333333,4.0,4.0,1.42307692308,0.333333333333,119.0275,9046.09,4.83434210526,5.00157894737,380.12,0.333333333333,127.166712329,9283.17,4.31506849315,6.39424657534,466.78,,39256.9874996
265,3806.0,50266.0,WEST DES MOINES,77.0,6.14852459016,201.666393443,122.0,24603.3,1970-01-01 00:00:00.000000044,11.2893442623,1377.3,0.333473164388,3.0,3.0,0.782051282051,0.333486660534,152.836,4585.08,5.152,9.8,294.0,0.333453496756,179.975,6479.1,6.08027777778,8.675,312.3,,27617.8468785
266,3808.0,50651.0,LA PORTE CITY,7.0,4.42901554404,60.8194818653,193.0,11738.16,1970-01-01 00:00:00.000000049,4.94274611399,953.95,0.333333333333,2.0,2.0,1.85576923077,0.333333333333,56.4524489796,2766.17,4.69897959184,4.54081632653,222.5,0.333451830786,58.02,3191.1,4.72945454545,4.13654545455,227.51,,13970.0084287
267,3811.0,52632.0,KEOKUK,56.0,5.46109375,154.02609375,128.0,19715.34,1970-01-01 00:00:00.000000046,11.7421875,1503.0,0.333443054641,3.0,3.0,0.820512820513,0.333443054641,141.9888,3549.72,5.4324,9.9,247.5,0.333333333333,131.923030303,4353.46,5.1296969697,9.63636363636,318.0,,18794.7351624
268,3813.0,50854.0,MOUNT AYR,80.0,4.92796460177,83.6166371681,113.0,9448.68,1970-01-01 00:00:00.000000044,7.20132743363,813.75,0.333402792248,3.0,3.0,0.724358974359,0.333627556076,70.1316666667,1262.37,3.78777777778,7.79166666667,140.25,0.333474396953,72.9685714286,1532.34,4.02238095238,8.35714285714,175.5,,7084.82335964
269,3814.0,50266.0,WEST DES MOINES,25.0,8.78108333333,2061.81183333,120.0,247417.42,1970-01-01 00:00:00.000000036,108.2,12984.0,0.33334074107,2.0,2.0,1.15384615385,0.333410780669,2454.07043478,56443.62,7.26913043478,120.913043478,2781.0,0.333333333333,3322.05157895,63118.98,8.15736842105,172.026315789,3268.5,,262718.799451
270,3816.0,51566.0,RED OAK,69.0,5.23336842105,83.9419473684,190.0,15948.97,1970-01-01 00:00:00.000000050,6.26257894737,1189.89,0.333333333333,3.0,3.0,1.21794871795,0.333333333333,81.4290243902,3338.59,4.49926829268,6.51024390244,266.92,0.333333333333,56.5641463415,2319.13,4.84804878049,4.47853658537,183.62,,10350.6332179
271,3818.0,50138.0,KNOXVILLE,63.0,4.49469745223,31.8098089172,628.0,19976.56,1970-01-01 00:00:00.000000052,2.15434713376,1352.93,0.333333333333,3.0,3.0,4.02564102564,0.333436724566,34.1113103448,4946.14,4.776,2.15282758621,312.16,0.333333333333,33.8862015504,4371.32,4.42813953488,2.43511627907,314.13,,18868.8684942
272,3819.0,52101.0,DECORAH,96.0,5.21950657895,79.5455921053,304.0,24181.86,1970-01-01 00:00:00.000000051,6.31213815789,1918.89,0.333333333333,3.0,3.0,1.94871794872,0.333435657541,86.6741666667,4160.36,5.038125,7.45625,357.9,0.333333333333,94.1403703704,7625.37,5.10234567901,7.72802469136,625.97,,32375.7872009
273,3822.0,52338.0,SWISHER,52.0,6.58182539683,42.8226190476,126.0,5395.65,1970-01-01 00:00:00.000000042,2.5426984127,320.38,0.333333333333,5.0,5.0,0.484615384615,0.333333333333,63.2465,1264.93,6.879,3.775,75.5,0.333333333333,51.8620833333,1244.69,6.08,2.62291666667,62.95,,5890.8450354
274,3825.0,50316.0,DES MOINES,77.0,3.64922680412,92.8060824742,194.0,18004.38,1970-01-01 00:00:00.000000047,5.76804123711,1119.0,0.333333333333,2.0,2.0,1.86538461538,0.333333333333,84.3631818182,3711.98,2.71,6.52272727273,287.0,0.33353539301,90.4208695652,4159.36,3.58586956522,5.88195652174,270.57,,17989.0644072
275,3829.0,52314.0,MOUNT VERNON,57.0,4.35365740741,59.6495833333,216.0,12884.31,1970-01-01 00:00:00.000000048,4.64236111111,1002.75,0.3334463419,3.0,3.0,1.38461538462,0.333333333333,58.1158227848,4591.15,4.10620253165,4.8164556962,380.5,0.333486660534,75.6910447761,5071.3,4.9176119403,5.67985074627,380.55,,21774.3471919
276,3830.0,50801.0,CRESTON,88.0,5.59357512953,163.851295337,193.0,31623.3,1970-01-01 00:00:00.000000052,12.2642487047,2367.0,0.333408222871,3.0,3.0,1.23717948718,0.333410780669,166.3065,6652.26,5.7675,12.75,510.0,0.333333333333,148.647567568,5499.96,5.84135135135,12.3648648649,457.5,,23553.6301694
277,3831.0,50156.0,MADRID,8.0,4.11690789474,56.3583552632,152.0,8566.47,1970-01-01 00:00:00.000000047,4.54776315789,691.26,0.333333333333,3.0,3.0,0.974358974359,0.333522651795,82.9181818182,1824.2,4.21181818182,6.36363636364,140.0,0.333333333333,54.0803571429,1514.25,4.59357142857,3.77678571429,105.75,,7009.73534335
278,3833.0,50022.0,ATLANTIC,15.0,5.10259259259,157.556111111,108.0,17016.06,1970-01-01 00:00:00.000000041,13.5833333333,1467.0,0.333453243365,4.0,4.0,0.519230769231,0.33347826087,179.452173913,4127.4,4.83565217391,14.8695652174,342.0,0.333333333333,156.33,4377.24,6.09035714286,10.2857142857,288.0,,18893.4412447
279,3838.0,52722.0,BETTENDORF,48.0,5.19191570881,164.812835249,261.0,43016.15,1970-01-01 00:00:00.000000052,11.3074712644,2951.25,0.333410726724,3.0,3.0,1.67307692308,0.333333333333,130.148450704,9240.54,4.98690140845,9.57042253521,679.5,0.333421703214,177.941333333,10676.48,5.54383333333,11.01,660.6,,45040.3420588
280,3841.0,52001.0,DUBUQUE,31.0,3.48608433735,43.2801204819,166.0,7184.5,1970-01-01 00:00:00.000000048,4.25837349398,706.89,0.333333333333,3.0,3.0,1.0641025641,0.333333333333,51.5425,2267.87,3.44704545455,5.17772727273,227.82,0.333485309481,21.1442105263,803.48,3.96868421053,1.99605263158,75.85,,4059.4694872
281,3842.0,50517.0,BANCROFT,55.0,5.4575617284,101.318518519,324.0,32827.2,1970-01-01 00:00:00.000000053,7.16842592593,2322.57,0.333333333333,3.0,3.0,2.07692307692,0.333333333333,81.7687837838,6050.89,5.52689189189,5.70837837838,422.42,0.333410726724,146.058510638,6864.75,5.75680851064,10.0125531915,470.59,,29218.6038427
282,3853.0,52804.0,DAVENPORT,82.0,2.87953271028,139.908785047,107.0,14970.24,1970-01-01 00:00:00.000000039,9.20728971963,985.18,0.333333333333,3.0,3.0,0.685897435897,0.333333333333,103.04483871,3194.39,2.99741935484,6.94258064516,215.22,0.333393415044,125.27625,2004.42,3.9875,6.679375,106.87,,9044.3341794
283,3855.0,50588.0,STORM LAKE,11.0,4.70601769912,68.5652212389,113.0,7747.87,1970-01-01 00:00:00.000000044,4.64522123894,524.91,0.333333333333,3.0,3.0,0.724358974359,0.333333333333,45.6259259259,1231.9,4.32703703704,3.24074074074,87.5,0.333500675207,47.1089285714,1319.05,4.40142857143,2.40285714286,67.28,,6199.49870545
284,3857.0,52172.0,WAUKON,3.0,5.36788643533,99.6989274448,317.0,31604.56,1970-01-01 00:00:00.000000052,7.01930599369,2225.12,0.333333333333,3.0,3.0,2.03205128205,0.333333333333,98.665,4735.92,4.86458333333,7.80729166667,374.75,0.333333333333,84.1646428571,7069.83,5.53880952381,5.97547619048,501.94,,30069.8504088
285,3858.0,52806.0,DAVENPORT,82.0,4.27746376812,68.7891666667,276.0,18985.81,1970-01-01 00:00:00.000000050,5.35384057971,1477.66,0.333333333333,3.0,3.0,1.76923076923,0.333333333333,76.6338596491,4368.13,4.47947368421,5.95157894737,339.24,0.333333333333,73.4269230769,4772.75,5.00892307692,5.40892307692,351.58,,20535.125121
286,3859.0,50644.0,INDEPENDENCE,10.0,5.20192592593,194.298222222,135.0,26230.26,1970-01-01 00:00:00.000000044,14.7777777778,1995.0,0.333456153279,2.0,2.0,1.29807692308,0.333333333333,182.864615385,7131.72,4.72794871795,15.0384615385,586.5,0.333480760725,179.9352,4498.38,5.8204,14.34,358.5,,19396.2694532
287,3866.0,50010.0,AMES,85.0,6.23071428571,173.334571429,70.0,12133.42,1970-01-01 00:00:00.000000029,10.0671428571,704.7,0.333474414316,3.0,3.0,0.448717948718,0.333486238532,149.653333333,1346.88,5.48222222222,8.83333333333,79.5,0.333424956884,177.81875,2845.1,7.069375,8.56875,137.1,,12533.8307816
