company,culture,job_addr,job_description,job_posted,job_security_advance,job_title,link,management,reviews_score,reviews_total,salary,salary_benefits,salary_bins,work_life_bal,salary_bins_int
Fuchs Lubricants Co.,-,"Harvey, IL","
Detail oriented individual who can keep organized data on numerous projects; Fuchs Lubricants Co....",5 days ago,-,R&D Chemist/ Scientist,http://www.indeed.com/rc/clk?jk=ddb9a06dd34f4401&fccid=2713e0854b0a2359,-,3.7,-,-,-,"$55,000+",-,55000
Jobspring Partners,3.5,"Chicago, IL","
This mid-sized start needs help building out their product data platform on the backend using Java. New role with a new company....",23 days ago,3.4,Software Scientist,http://www.indeed.com/rc/clk?jk=acae9b1cef1054d1&fccid=4a2d2fbadf14d480,3.2,3.3,12,"$75,000 - $100,000 a year",2.8,"$55,000+",2.8,55000
University of Chicago,4.1,"Chicago, IL","
Knowledge of computational tools for analysis and visual presentation of next generation sequencing data, major microarrays platforms and proteomics data...",30+ days ago,3.8,Staff Scientist,http://www.indeed.com/rc/clk?jk=3333c772a8684ade&fccid=5cb727313a823dd6,3.8,4.3,226,-,4.1,"$55,000+",4.1,55000
Cook County Health & Hospitals System,3.9,"Chicago, IL","
An Accredited Medical Technologist (AMT), Clinical Laboratory Scientist (CLS) or other national certification (....",14 days ago,3.7,MEDICAL TECHNOLOGIST III,http://www.indeed.com/rc/clk?jk=043acd8080efc94a&fccid=29d12aab3f11bcf5,3.6,4.3,8,$27.61 an hour,4.1,"$55,000+",4.1,55000
Morningstar,3.6,"Chicago, IL","
Consisting of marketing managers, designers, writers, corporate communications professionals, digital strategists, behavioral scientists, and more, this...",30+ days ago,2.9,Content Manager,http://www.indeed.com/rc/clk?jk=f8c050c866ecd8c9&fccid=eaabf52abd909bd5,3.1,3.8,44,-,3.0,"$55,000+",3.8,55000
Data Realty/ Aunalytics,-,"Chicago, IL","
Data Realty is a data center and data management company. Utilize the proprietary software Aunsight to create a multitude of analytics ready data sets that can...",30+ days ago,-,Technology Sales Specialist,http://www.indeed.com/company/Graham-Allen-Partners/jobs/Technology-Sales-Specialist-061b78ddf6d8e45a?r=1&fccid=b4fa831cf196b424,-,3.7,-,-,-,"$55,000+",-,55000
eSpark,5.0,"Chicago, IL 60607 (Near West Side area)","
The opportunity to work on a rare mixed and passionate team of experienced teachers, engineers, designers, and data scientists....",29 days ago,3.0,Inbound Marketing Manager,http://www.indeed.com/rc/clk?jk=2c4e70b33d9309aa&fccid=9481030ff6e38069,4.0,5.0,-,-,3.0,"$55,000+",4.0,55000
Workbridge Associates,3.3,"Chicago, IL","
Big Data with Hadoop, Hive, Impala. Mid, Senior, Lead, Data, Scientist, Machine, Learning, Predictive, Analytics, Engineer, Developer, Python, R, Hadoop, Hive,...",19 days ago,2.9,Director of Data Science,http://www.indeed.com/company/Workbridge-Associates/jobs/Director-Data-Science-760c3dd88de92587?r=1&fccid=a6920e0a635e5c4e,3.4,3.3,24,"$180,000 a year",2.8,"$55,000+",3.0,55000
Northwestern University,4.0,"Evanston, IL","
Familiarity with best practices for managing and ensuring confidentiality for FERPA-protected academic data....",30+ days ago,3.6,Senior Program Coordinator,http://www.indeed.com/rc/clk?jk=74a7116906fbbd96&fccid=bc51f56762438d6f,3.8,4.2,173,-,3.9,"$55,000+",4.0,55000
Strike Social,-,"Chicago, IL 60601 (Loop area)","
Collaborate with data scientists and graphic artists to create infographics, data reports and more that position Strike as an industry expert....",30+ days ago,-,Senior Content Manager,http://www.indeed.com/rc/clk?jk=7d6e1df4187fae24&fccid=cf4976b1a250fb07,-,3.8,-,-,-,"$55,000+",-,55000
Grecian Delight Foods Inc,-,"Elk Grove Village, IL","
The backup for this position is R&D Manager or R&D Scientist. Provides sample and data collection, as well as basic analysis for support for production line...",30+ days ago,-,Meat Food Scientist,http://www.indeed.com/rc/clk?jk=5f39f39d9e6223e4&fccid=e6ddf9074ed6eaf6,-,4.3,-,-,-,"$55,000+",-,55000
ADP,3.7,"Elk Grove Village, IL 60007","
At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",16 days ago,3.5,IT Command Center Operational Support II,http://www.indeed.com/rc/clk?jk=1d00fc1fb490da07&fccid=e996c2d6855fe778,3.5,3.9,"1,649",-,3.8,"$55,000+",3.8,55000
Drivin,-,"Chicago, IL 60645 (West Ridge area)","
As a premier venture-backed, rapidly growing start-up, we are looking for world-class individuals to join our team, including creative technologists, forward...",30+ days ago,-,Inside Sales Representative,http://www.indeed.com/rc/clk?jk=880afc490016f0f5&fccid=07a07a942fc3bb05,-,3.9,-,-,-,"$55,000+",-,55000
Illinois Institute of Technology,4.0,"Chicago, IL","
Admin-level experience with NetApp storage (Clustered Data ONTAP 8.3) is a plus. Participate in the management and maintenance of the campus data center....",12 days ago,3.7,Windows & VMWare Admin,http://www.indeed.com/rc/clk?jk=def8cdd372233a21&fccid=e57e2a4e69d540da,3.8,4.1,125,-,3.6,"$55,000+",4.1,55000
Northwestern University,4.0,"Chicago, IL","
Designs databases and data structures. Experience with support of researchers and scientists. Develops and implements procedures for data security, management...",30+ days ago,3.6,Developer Senior,http://www.indeed.com/rc/clk?jk=40ab0fcfbaab7812&fccid=bc51f56762438d6f,3.8,4.2,173,-,3.9,"$55,000+",4.0,55000
ADP,3.7,"Elk Grove Village, IL 60007","
At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",30+ days ago,3.5,IT Operations Control Specialist - Weekday swing shift,http://www.indeed.com/rc/clk?jk=87d6fd509a0fe6fe&fccid=e996c2d6855fe778,3.5,3.9,"1,649",-,3.8,"$55,000+",3.8,55000
Allstate Insurance,3.7,"Chicago, IL 60654 (Loop area)","
Provide geospatial support to internal and external teams with data development, data scrubbing and analysis, on-line and hardcopy map creation, setup of ETL...",30+ days ago,3.3,Lead GIS Analyst - Autonomous Vehicle Services,http://www.indeed.com/rc/clk?jk=882e86d2a8618d05&fccid=3a71a4d2f7990a25,3.5,3.9,"2,826",-,3.5,"$55,000+",3.8,55000
ADP,3.7,"Elk Grove Village, IL 60007","
At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",30 days ago,3.5,IT Operations Control Specialist III,http://www.indeed.com/rc/clk?jk=ba04747ee4cbfefe&fccid=e996c2d6855fe778,3.5,3.9,"1,649",-,3.8,"$55,000+",3.8,55000
